iter	Passed	Remaining
438	1296	1657
439	1298	1652
440	1299	1647
441	1304	1646
442	1307	1644
443	1309	1640
444	1311	1636
445	1313	1631
446	1314	1626
447	1322	1629
448	1324	1625
449	1326	1621
450	1328	1617
451	1330	1612
452	1333	1609
453	1336	1607
454	1337	1602
455	1340	1598
456	1342	1595
457	1344	1590
458	1346	1586
459	1349	1584
460	1352	1580
461	1353	1576
462	1355	1571
463	1356	1567
464	1358	1563
465	1361	1559
466	1364	1557
467	1368	1556
468	1370	1552
469	1373	1548
470	1376	1546
471	1382	1546
472	1384	1542
473	1386	1538
474	1388	1534
475	1390	1530
476	1392	1527
477	1396	1524
478	1398	1520
479	1399	1516
480	1401	1512
481	1405	1510
482	1409	1509
483	1413	1506
484	1414	1502
485	1416	1497
486	1417	1493
487	1419	1489
488	1421	1485
489	1423	1481
490	1425	1477
491	1428	1475
492	1430	1471
493	1432	1467
494	1434	1463
495	1440	1463
496	1442	1460
497	1444	1456
498	1446	1451
499	1447	1447
500	1449	1443
501	1457	1446
502	1459	1442
503	1461	1438
504	1462	1433
505	1464	1429
506	1468	1428
507	1471	1425
508	1475	1423
509	1476	1419
510	1478	1414
511	1485	1415
512	1487	1412
513	1488	1407
514	1491	1404
515	1492	1400
516	1494	1396
517	1500	1395
518	1502	1392
519	1503	1388
520	1505	1384
521	1507	1380
522	1509	1376
523	1513	1374
524	1517	1372
525	1519	1369
526	1520	1364
527	1522	1360
528	1524	1357
529	1525	1353
530	1529	1351
531	1533	1348
532	1534	1344
533	1536	1340
534	1537	1336
535	1539	1332
536	1543	1331
537	1546	1327
538	1549	1324
539	1551	1321
540	1552	1317
541	1554	1313
542	1557	1311
543	1561	1309
544	1563	1305
545	1565	1301
546	1566	1297
547	1568	1293
548	1569	1289
549	1574	1288
550	1576	1284
551	1578	1281
552	1580	1277
553	1582	1273
554	1583	1269
555	1585	1266
556	1591	1266
557	1595	1263
558	1596	1259
559	1598	1255
560	1600	1252
561	1605	1250
562	1607	1247
563	1610	1244
564	1612	1241
565	1614	1237
566	1615	1233
567	1621	1232
568	1623	1229
569	1625	1226
570	1627	1222
571	1628	1218
572	1630	1215
573	1634	1213
574	1636	1209
575	1638	1206
576	1640	1202
577	1641	1198
578	1643	1194
579	1644	1191
580	1648	1188
581	1651	1185
582	1653	1182
583	1655	1179
584	1657	1175
585	1658	1172
586	1661	1169
587	1667	1168
588	1669	1165
589	1673	1162
590	1675	1159
591	1677	1156
592	1679	1152
593	1683	1150
594	1685	1147
595	1687	1144
596	1690	1140
597	1692	1138
598	1695	1134
599	1697	1131
600	1699	1128
601	1701	1125
602	1703	1121
603	1706	1118
604	1708	1115
605	1711	1112
606	1714	1110
607	1716	1106
608	1718	1103
609	1721	1100
610	1725	1098
611	1727	1095
612	1730	1092
613	1732	1089
614	1734	1086
615	1739	1084
616	1742	1081
617	1744	1078
618	1746	1074
619	1748	1071
620	1749	1067
621	1753	1065
622	1755	1062
623	1758	1059
624	1760	1056
625	1762	1052
626	1763	1049
627	1767	1046
628	1769	1043
629	1771	1040
630	1773	1037
631	1775	1033
632	1776	1030
633	1783	1029
634	1786	1026
635	1788	1023
636	1789	1020
637	1791	1016
638	1793	1013
639	1796	1010
640	1799	1007
641	1800	1004
642	1802	1000
643	1804	997
644	1806	994
645	1807	990
646	1811	988
647	1814	985
648	1816	982
649	1817	978
650	1819	975
651	1820	971
652	1822	968
653	1824	965
654	1828	963
655	1831	960
656	1833	957
657	1834	953
658	1836	950
659	1838	946
660	1842	944
661	1845	942
662	1847	939
663	1849	935
664	1851	932
665	1852	929
666	1859	928
667	1861	925
668	1863	922
669	1865	918
670	1867	915
671	1868	912
672	1872	909
673	1875	907
674	1877	903
675	1879	900
676	1881	897
677	1882	894
678	1885	891
679	1888	888
680	1891	885
681	1893	882
682	1895	879
683	1896	876
684	1901	874
685	1904	871
686	1907	868
687	1909	865
688	1911	862
689	1913	859
690	1916	856
691	1918	853
692	1920	850
693	1922	847
694	1923	844
695	1925	840
696	1926	837
697	1930	835
698	1932	832
699	1934	828
700	1936	825
701	1937	822
702	1939	819
703	1941	816
704	1944	813
705	1947	810
706	1948	807
707	1950	804
708	1952	801
709	1954	798
710	1955	794
711	1960	793
712	1962	790
713	1964	786
714	1965	783
715	1967	780
716	1969	777
717	1971	774
718	1976	772
719	1978	769
720	1979	766
721	1981	762
722	1982	759
723	1984	756
724	1986	753
725	1989	750
726	1992	748
727	1994	745
728	1995	741
729	1997	738
730	1999	735
731	2001	732
732	2007	731
733	2009	728
734	2011	725
735	2013	722
736	2015	719
737	2017	716
738	2019	713
739	2023	710
740	2024	707
741	2026	704
742	2028	701
743	2030	698
744	2031	695
745	2035	692
746	2038	690
747	2039	687
748	2041	684
749	2043	681
750	2045	678
751	2046	675
752	2050	672
753	2053	669
754	2054	666
755	2056	663
756	2058	660
757	2059	657
758	2061	654
759	2062	651
760	2067	649
761	2069	646
762	2070	643
763	2072	640
764	2074	637
765	2075	634
766	2077	630
767	2080	628
768	2082	625
769	2084	622
770	2086	619
771	2088	616
772	2089	613
773	2090	610
774	2092	607
775	2097	605
776	2099	602
777	2101	599
778	2103	596
779	2105	593
780	2106	590
781	2108	587
782	2112	585
783	2114	582
784	2115	579
785	2117	576
786	2119	573
787	2121	570
788	2122	567
789	2126	565
790	2128	562
791	2130	559
792	2131	556
793	2133	553
794	2135	550
795	2136	547
796	2138	544
797	2141	542
798	2143	539
799	2145	536
800	2146	533
801	2148	530
802	2149	527
803	2151	524
804	2152	521
805	2155	518
806	2158	516
807	2159	513
808	2160	510
809	2162	507
810	2163	504
811	2165	501
812	2167	498
813	2186	499
814	2188	496
815	2190	493
816	2192	491
817	2193	488
818	2195	485
819	2196	482
820	2198	479
821	2203	477
822	2205	474
823	2207	471
824	2209	468
825	2210	465
826	2212	462
827	2213	459
828	2216	457
829	2218	454
830	2220	451
831	2222	448
832	2223	445
833	2225	443
834	2227	440
835	2229	437
836	2233	434
837	2235	432
838	2236	429
839	2238	426
840	2239	423
841	2241	420
842	2243	417
843	2245	415
844	2249	412
845	2251	409
846	2253	406
847	2254	404
848	2256	401
849	2258	398
850	2263	396
851	2265	393
852	2267	390
853	2268	387
854	2270	385
855	2272	382
856	2274	379
857	2279	377
858	2281	374
859	2283	371
860	2284	368
861	2286	366
862	2288	363
863	2289	360
864	2293	357
865	2295	355
866	2297	352
867	2299	349
868	2301	346
869	2302	344
870	2304	341
871	2310	339
872	2312	336
873	2314	333
874	2316	330
875	2318	328
876	2320	325
877	2324	323
878	2327	320
879	2329	317
880	2330	314
881	2332	312
882	2334	309
883	2337	306
884	2339	304
885	2341	301
886	2342	298
887	2345	295
888	2346	293
889	2348	290
890	2350	287
891	2354	285
892	2356	282
893	2358	279
894	2360	276
895	2361	274
896	2363	271
897	2365	268
898	2368	266
899	2369	263
900	2371	260
901	2373	257
902	2374	255
903	2376	252
904	2377	249
905	2379	246
906	2384	244
907	2386	241
908	2387	239
909	2389	236
910	2390	233
911	2392	230
912	2393	228
913	2395	225
914	2398	222
915	2409	220
916	2412	218
917	2414	215
918	2416	213
919	2418	210
920	2420	207
921	2421	204
922	2423	202
923	2425	199
924	2426	196
925	2430	194
926	2433	191
927	2434	188
928	2436	186
929	2438	183
930	2439	180
931	2441	178
932	2446	175
933	2448	173
934	2450	170
935	2451	167
936	2453	164
937	2455	162
938	2457	159
939	2460	157
940	2463	154
941	2465	151
942	2467	149
943	2469	146
944	2470	143
945	2473	141
946	2476	138
947	2478	135
948	2479	133
949	2481	130
950	2483	127
951	2484	125
952	2486	122
953	2491	120
954	2494	117
955	2495	114
956	2497	112
957	2499	109
958	2501	106
959	2506	104
960	2508	101
961	2509	99
962	2512	96
963	2513	93
964	2515	91
965	2517	88
966	2520	86
967	2522	83
968	2524	80
969	2526	78
970	2527	75
971	2529	72
972	2531	70
973	2535	67
974	2537	65
975	2539	62
976	2541	59
977	2542	57
978	2544	54
979	2545	51
980	2549	49
981	2552	46
982	2554	44
983	2555	41
984	2557	38
985	2559	36
986	2560	33
987	2562	31
988	2566	28
989	2568	25
990	2569	23
991	2571	20
992	2572	18
993	2574	15
994	2576	12
995	2578	10
996	2580	7
997	2582	5
998	2584	2
999	2585	0
